OBJECTID,CODI_ENS,NOM_ENS,CODICARRER,CARRER,NUMINICIAL,SUFIXINICIAL,NUMFINAL,SUFIXFINAL,NUMERO,X,Y,LAT,LON,EXTRACCIO,CODITRAM
2367,08200,SANT BOI DE LLOBREGAT,1800,C FRANCESC PI I MARGALL,94, ,0, ,94,419278.2534,4577728.2173,41.34700593,2.03511462,2022/08/01 05:45:24+00,1143
2368,08200,SANT BOI DE LLOBREGAT,1810,C PABLO PICASSO,35, ,0, ,35,419019.691,4578300.6497,41.35213554,2.03194801,2022/08/01 05:45:24+00,1749
2369,08200,SANT BOI DE LLOBREGAT,2120,PU ESGLÉSIA,19, ,0, ,19,419984.0367,4577635.5917,41.34624212,2.04356208,2022/08/01 05:45:24+00,897
2370,08200,SANT BOI DE LLOBREGAT,1780,C PAU CLARIS,6, ,8, ,6-8,419461.6609,4577191.8211,41.34219328,2.03737779,2022/08/01 05:45:24+00,1085
2371,08200,SANT BOI DE LLOBREGAT,0590,C DOCTOR PERE NUBIOLA,7, ,0, ,7,419770.2629,4576170.2244,41.33302311,2.04120077,2022/08/01 05:45:24+00,1964
2372,08200,SANT BOI DE LLOBREGAT,0070,C AMADEU VIVES,20, ,0, ,20,419513.7898,4577225.3772,41.34250071,2.03799632,2022/08/01 05:45:24+00,1973
2373,08200,SANT BOI DE LLOBREGAT,2310,RD SANT RAMON,142, ,0, ,142,419430.5153,4576558.2276,41.33648375,2.03708964,2022/08/01 05:45:24+00,1203
2374,08200,SANT BOI DE LLOBREGAT,1800,C FRANCESC PI I MARGALL,146, ,0, ,146,419095.3843,4577710.8708,41.34683136,2.03293135,2022/08/01 05:45:24+00,640
2375,08200,SANT BOI DE LLOBREGAT,1120,C LLUÍS PASCUAL ROCA,9, ,0, ,9,419647.364,4577323.266,41.34339567,2.03957968,2022/08/01 05:45:24+00,1040
2376,08200,SANT BOI DE LLOBREGAT,0820,C ISAAC ALBÉNIZ,89, ,0, ,89,419994.6235,4576450.4352,41.33556912,2.04384476,2022/08/01 05:45:24+00,993
2377,08200,SANT BOI DE LLOBREGAT,1600,C CATALPES,12, ,14, ,12-14,417923.8996,4578094.7415,41.35017013,2.01887842,2022/08/01 05:45:24+00,1751
2378,08200,SANT BOI DE LLOBREGAT,2390,C JOAN SALVAT I PAPASSEIT,12, ,0, ,12,419859.5515,4577459.8018,41.34464651,2.04209751,2022/08/01 05:45:24+00,1936
2379,08200,SANT BOI DE LLOBREGAT,0910,C JOAN PFAFF,5, ,0, ,5,418499.6342,4577625.6113,41.34600342,2.02582267,2022/08/01 05:45:24+00,1953
2380,08200,SANT BOI DE LLOBREGAT,1633,CM PARC MARIANAO N. 47,6, ,0, ,6,417943.6103,4578540.6205,41.35418789,2.01905372,2022/08/01 05:45:24+00,1831
2381,08200,SANT BOI DE LLOBREGAT,2600,C VÍDUA DE VIVES,7, ,0, ,7,419880.5222,4577294.0321,41.3431556,2.04237001,2022/08/01 05:45:24+00,365
2382,08200,SANT BOI DE LLOBREGAT,1300,C MOSSÈN JACINT VERDAGUER,153, ,0, ,153,419953.8205,4576779.3034,41.33852701,2.04331384,2022/08/01 05:45:24+00,872
2383,08200,SANT BOI DE LLOBREGAT,0830,C JAUME BALMES,75,I,0, ,75I,420072.2426,4576548.295,41.3364582,2.0447594,2022/08/01 05:45:24+00,1942
2384,08200,SANT BOI DE LLOBREGAT,2500,C TRES D'ABRIL,16, ,0, ,16,420098.7296,4577171.7572,41.34207601,2.04499388,2022/08/01 05:45:24+00,1077
2385,08200,SANT BOI DE LLOBREGAT,2110,PL LLORENÇ PRESAS,2, ,0, ,2,419805.7057,4577693.8043,41.34674868,2.04142307,2022/08/01 05:45:24+00,363
2386,08200,SANT BOI DE LLOBREGAT,0930,C JOAN PARELLADA,1, ,0, ,1,419672.2772,4576382.7619,41.33492756,2.04000182,2022/08/01 05:45:24+00,545
2387,08200,SANT BOI DE LLOBREGAT,2260,C RIERA BASTÉ,16, ,0, ,16,419355.0049,4577687.8565,41.34665011,2.03603728,2022/08/01 05:45:24+00,649
2388,08200,SANT BOI DE LLOBREGAT,0380,C CARDENAL VIDAL I BARRAQUER,19, ,0, ,19,419510.7285,4577654.993,41.34636971,2.03790278,2022/08/01 05:45:24+00,2049
2389,08200,SANT BOI DE LLOBREGAT,0550,C DÍDAC PRIU,1, ,0, ,1,420164.038,4576923.01,41.33984215,2.04580707,2022/08/01 05:45:24+00,1122
2390,08200,SANT BOI DE LLOBREGAT,1000,C PLANA,19, ,0, ,19,419613.992,4577490.2684,41.34489644,2.03915874,2022/08/01 05:45:24+00,1935
2391,08200,SANT BOI DE LLOBREGAT,3370,C GUILLERIES,16, ,0, ,16,418105.0816,4577332.2389,41.34332119,2.02114679,2022/08/01 05:45:24+00,1365
2392,08200,SANT BOI DE LLOBREGAT,0340,. CAMPS BLANCS,93, ,0, ,93,419018.6385,4576406.7305,41.33507802,2.03218804,2022/08/01 05:45:24+00,335
2393,08200,SANT BOI DE LLOBREGAT,1290,C MONTMANY,73, ,0, ,73,419120.7289,4578249.1857,41.35168219,2.03316253,2022/08/01 05:45:24+00,1118
2394,08200,SANT BOI DE LLOBREGAT,2270,C RIERA DEL FONOLLAR,25, ,0, ,25,419444.8725,4575808.315,41.32973114,2.03736065,2022/08/01 05:45:24+00,2
2395,08200,SANT BOI DE LLOBREGAT,2310,RD SANT RAMON,6, ,0, ,6,418537.7551,4578724.069,41.35590041,2.02613083,2022/08/01 05:45:24+00,499
2396,08200,SANT BOI DE LLOBREGAT,6399,C AURORA BERTRANA,7,A,0, ,7A,418409.5852,4578542.3471,41.35425078,2.02462322,2022/08/01 05:45:24+00,556
2397,08200,SANT BOI DE LLOBREGAT,1200,C RAMÓN MENÉNDEZ PIDAL,26, ,0, ,26,419627.3255,4576275.9555,41.33396113,2.03947881,2022/08/01 05:45:24+00,914
2398,08200,SANT BOI DE LLOBREGAT,2310,RD SANT RAMON,78, ,0, ,78,418633.4551,4578000.3631,41.34939211,2.02737178,2022/08/01 05:45:24+00,371
2399,08200,SANT BOI DE LLOBREGAT,0820,C ISAAC ALBÉNIZ,29,B,0, ,29B,419829.3597,4576600.9441,41.33690825,2.04185007,2022/08/01 05:45:24+00,1515
2400,08200,SANT BOI DE LLOBREGAT,5050,AV SEGLE XXI,73, ,0, ,73,419182.6965,4574825.8427,41.32085631,2.03435871,2022/08/01 05:45:24+00,89
2401,08200,SANT BOI DE LLOBREGAT,1590,C OMS,1, ,0, ,1,417978.0883,4578235.2413,41.35144104,2.0195071,2022/08/01 05:45:24+00,1581
2402,08200,SANT BOI DE LLOBREGAT,1640,C PARE BALDIRI DE SANT BOI,1, ,0, ,1,419110.9424,4577542.6892,41.34531821,2.03313971,2022/08/01 05:45:24+00,987
2403,08200,SANT BOI DE LLOBREGAT,1280,C MONTEVIDEO,40, ,0, ,40,419894.9828,4577458.6542,41.3446397,2.0425211,2022/08/01 05:45:24+00,320
2404,08200,SANT BOI DE LLOBREGAT,1090,C LLIBERTAT,17, ,19, ,17-19,418926.2836,4577947.6412,41.34894681,2.03087871,2022/08/01 05:45:24+00,1371
2405,08200,SANT BOI DE LLOBREGAT,1300,C MOSSÈN JACINT VERDAGUER,198, ,200, ,198-200,420078.1399,4576604.4979,41.33696497,2.04482247,2022/08/01 05:45:24+00,980
2406,08200,SANT BOI DE LLOBREGAT,0750,C FRANCESC MACIÀ,73, ,0, ,73,419964.2217,4576935.4413,41.33993429,2.04341756,2022/08/01 05:45:24+00,1633
2407,08200,SANT BOI DE LLOBREGAT,3760,C CARDENER,16, ,0, ,16,418518.4847,4576838.235,41.33891391,2.02615362,2022/08/01 05:45:24+00,589
2408,08200,SANT BOI DE LLOBREGAT,1270,C MONTCLAR,15, ,0, ,15,419523.8469,4577437.8197,41.34441506,2.03808835,2022/08/01 05:45:24+00,1387
2409,08200,SANT BOI DE LLOBREGAT,1590,C OMS,20, ,0, ,20,417856.2304,4578105.2951,41.35025828,2.0180682,2022/08/01 05:45:24+00,324
2410,08200,SANT BOI DE LLOBREGAT,1780,C PAU CLARIS,3, ,0, ,3,419449.5907,4577244.7825,41.34266907,2.03722652,2022/08/01 05:45:24+00,508
2411,08200,SANT BOI DE LLOBREGAT,3790,C PIRINEUS,28, ,0, ,28,418009.269,4577240.5911,41.34248603,2.02001413,2022/08/01 05:45:24+00,2071
2412,08200,SANT BOI DE LLOBREGAT,1540,C LILÀS,49, ,0, ,49,418012.8103,4577932.0537,41.34871396,2.01996306,2022/08/01 05:45:24+00,1757
2413,08200,SANT BOI DE LLOBREGAT,0200,BA MAS DE LES FLORS,1, ,0, ,1,420153.8961,4577386.8467,41.34401867,2.04562487,2022/08/01 05:45:24+00,1183
2414,08200,SANT BOI DE LLOBREGAT,0315,C CABRERA,33, ,0, ,33,418259.9516,4576640.7366,41.33710897,2.02309071,2022/08/01 05:45:24+00,48
2415,08200,SANT BOI DE LLOBREGAT,0830,C JAUME BALMES,21, ,0, ,21,419854.2015,4576716.1937,41.33794871,2.04213172,2022/08/01 05:45:24+00,627
2416,08200,SANT BOI DE LLOBREGAT,1240,C MIQUEL,41,B,0, ,41B,418900.6827,4577528.0643,41.34516535,2.03062879,2022/08/01 05:45:24+00,1686
2417,08200,SANT BOI DE LLOBREGAT,0820,C ISAAC ALBÉNIZ,36, ,0, ,36,419940.6648,4576483.2075,41.33585893,2.04319566,2022/08/01 05:45:24+00,993
2418,08200,SANT BOI DE LLOBREGAT,0860,C JAUME I,2, ,4, ,2-4,419777.9793,4577656.87,41.34641327,2.04109658,2022/08/01 05:45:24+00,1490
2419,08200,SANT BOI DE LLOBREGAT,0820,C ISAAC ALBÉNIZ,49, ,0, ,49,419893.1646,4576543.3419,41.3363958,2.04262012,2022/08/01 05:45:24+00,1112
2420,08200,SANT BOI DE LLOBREGAT,0750,C FRANCESC MACIÀ,20, ,0, ,20,419723.6431,4577229.6137,41.3425598,2.04050367,2022/08/01 05:45:24+00,1962
2421,08200,SANT BOI DE LLOBREGAT,6090,C ALGUER,6, ,0, ,6,420453.8104,4576799.8571,41.33876164,2.04928608,2022/08/01 05:45:24+00,99
2422,08200,SANT BOI DE LLOBREGAT,0810,C INDÚSTRIA,33, ,0, ,33,420072.5244,4576935.0871,41.33994185,2.04471186,2022/08/01 05:45:24+00,364
2423,08200,SANT BOI DE LLOBREGAT,1430,C EUCALIPTUS,26, ,0, ,26,417907.7819,4578325.7212,41.35224878,2.01865453,2022/08/01 05:45:24+00,24
2424,08200,SANT BOI DE LLOBREGAT,2600,C VÍDUA DE VIVES,6, ,8, ,6-8,419900.593,4577251.2329,41.34277213,2.04261552,2022/08/01 05:45:24+00,365
2425,08200,SANT BOI DE LLOBREGAT,1300,C MOSSÈN JACINT VERDAGUER,147, ,0, ,147,419933.7742,4576804.2446,41.33874965,2.043071,2022/08/01 05:45:24+00,872
2426,08200,SANT BOI DE LLOBREGAT,1350,C OVIEDO,24, ,0, ,24,419389.04,4577605.9111,41.34591549,2.03645494,2022/08/01 05:45:24+00,1679
2427,08200,SANT BOI DE LLOBREGAT,2285,C ANDORRA,54, ,0, ,54,419227.7239,4575303.0788,41.32515903,2.03483322,2022/08/01 05:45:24+00,57
2428,08200,SANT BOI DE LLOBREGAT,1090,C LLIBERTAT,30, ,32, ,30-32,418928.1082,4578012.0306,41.34952691,2.03089192,2022/08/01 05:45:24+00,1371
2429,08200,SANT BOI DE LLOBREGAT,1590,C OMS,9, ,0, ,9,417923.5682,4578146.2921,41.35063438,2.01886749,2022/08/01 05:45:24+00,1311
2430,08200,SANT BOI DE LLOBREGAT,1400,C FREIXES,41, ,0, ,41,418065.1159,4578280.9833,41.35186187,2.02054111,2022/08/01 05:45:24+00,1548
2431,08200,SANT BOI DE LLOBREGAT,0810,C INDÚSTRIA,27, ,29, ,27-29,420052.4991,4576959.5062,41.34015979,2.04446934,2022/08/01 05:45:24+00,364
2432,08200,SANT BOI DE LLOBREGAT,3740,C FRANCOLÍ,46, ,0, ,46,418567.5576,4577038.6556,41.34072394,2.02671317,2022/08/01 05:45:24+00,457
2433,08200,SANT BOI DE LLOBREGAT,1290,C MONTMANY,54, ,0, ,54,419117.8332,4577982.0192,41.34927569,2.03316352,2022/08/01 05:45:24+00,170
2434,08200,SANT BOI DE LLOBREGAT,3000,CR SANT CLIMENT,52, ,0, ,52,418110.4541,4577677.923,41.3464351,2.02116437,2022/08/01 05:45:24+00,1489
2435,08200,SANT BOI DE LLOBREGAT,2350,C RUTLLA,32, ,0, ,32,419645.7436,4577652.2252,41.34635826,2.03951678,2022/08/01 05:45:24+00,1777
2436,08200,SANT BOI DE LLOBREGAT,1500,C GINESTA,28,B,0, ,28B,418142.9774,4577998.2198,41.34932312,2.02150988,2022/08/01 05:45:24+00,534
2437,08200,SANT BOI DE LLOBREGAT,2320,C ROSSELLÓ,126, ,0, ,126,418402.416,4577760.4384,41.34720789,2.02464265,2022/08/01 05:45:24+00,1601
2438,08200,SANT BOI DE LLOBREGAT,0940,C JOSEP MARIEGES,19, ,0, ,19,419918.6657,4576385.0293,41.3349725,2.04294572,2022/08/01 05:45:24+00,758
2439,08200,SANT BOI DE LLOBREGAT,2320,C ROSSELLÓ,66, ,0, ,66,418862.968,4577838.2376,41.3479551,2.03013659,2022/08/01 05:45:24+00,179
2440,08200,SANT BOI DE LLOBREGAT,1400,C FREIXES,35, ,0, ,35,418117.2355,4578249.6727,41.35158518,2.02116829,2022/08/01 05:45:24+00,1548
2441,08200,SANT BOI DE LLOBREGAT,0380,C CARDENAL VIDAL I BARRAQUER,1, ,0, ,1,419530.428,4577519.3764,41.34515025,2.03815619,2022/08/01 05:45:24+00,889
2442,08200,SANT BOI DE LLOBREGAT,1240,C MIQUEL,22, ,0, ,22,418922.7229,4577556.666,41.34542517,2.03088838,2022/08/01 05:45:24+00,1686
2443,08200,SANT BOI DE LLOBREGAT,2390,C JOAN SALVAT I PAPASSEIT,68, ,0, ,68,419808.8404,4577234.5287,41.34261255,2.0415212,2022/08/01 05:45:24+00,1807
2444,08200,SANT BOI DE LLOBREGAT,0340,. CAMPS BLANCS,96, ,0, ,96,419015.8265,4576461.7306,41.33557309,2.03214711,2022/08/01 05:45:24+00,1699
2445,08200,SANT BOI DE LLOBREGAT,3000,CR SANT CLIMENT,4, ,0, ,4,418342.0314,4577678.4957,41.34646376,2.02393198,2022/08/01 05:45:24+00,1288
2446,08200,SANT BOI DE LLOBREGAT,1290,C MONTMANY,33, ,0, ,33,419125.7239,4577867.5546,41.34824556,2.03327308,2022/08/01 05:45:24+00,1381
2447,08200,SANT BOI DE LLOBREGAT,1630,C SURERES,4, ,0, ,4,417527.8952,4578094.5712,41.35012815,2.01414535,2022/08/01 05:45:24+00,1661
2448,08200,SANT BOI DE LLOBREGAT,1330,C NORD,34, ,0, ,34,419465.3323,4577535.84,41.34529203,2.03737603,2022/08/01 05:45:24+00,314
2449,08200,SANT BOI DE LLOBREGAT,0570,C DOCTOR IGNASI BARRAQUER,8, ,0, ,8,419670.4649,4576317.9895,41.33434401,2.03998873,2022/08/01 05:45:24+00,172
2450,08200,SANT BOI DE LLOBREGAT,1830,C JOAN MIRÓ,23, ,0, ,23,419387.9446,4577327.5775,41.34340859,2.0364788,2022/08/01 05:45:24+00,660
2451,08200,SANT BOI DE LLOBREGAT,1310,C MÚRCIA,14, ,0, ,14,419980.9854,4575831.4957,41.32999332,2.04376332,2022/08/01 05:45:24+00,2066
2452,08200,SANT BOI DE LLOBREGAT,0341,. CAMPS BLANCS (LOCALS),109, ,116, ,109-116,419059.361,4576578.079,41.33662535,2.03265182,2022/08/01 05:45:24+00,1567
2453,08200,SANT BOI DE LLOBREGAT,1540,C LILÀS,53, ,0, ,53,418021.6196,4577906.2861,41.34848278,2.02007183,2022/08/01 05:45:24+00,1375
2454,08200,SANT BOI DE LLOBREGAT,1120,C LLUÍS PASCUAL ROCA,81, ,0, ,81,419205.5546,4577657.4312,41.34636112,2.03425517,2022/08/01 05:45:24+00,561
2455,08200,SANT BOI DE LLOBREGAT,2580,C VICTÒRIA,60, ,0, ,60,418895.388,4578021.8537,41.34961208,2.03049953,2022/08/01 05:45:24+00,653
2456,08200,SANT BOI DE LLOBREGAT,2240,C MOSSÈN ANTONI SOLANAS,76, ,0, ,76,419903.5267,4576612.6602,41.33702115,2.0427348,2022/08/01 05:45:24+00,1535
2457,08200,SANT BOI DE LLOBREGAT,2390,C JOAN SALVAT I PAPASSEIT,15,B,0, ,15B,419823.2633,4577444.6273,41.34450623,2.04166582,2022/08/01 05:45:24+00,1936
2458,08200,SANT BOI DE LLOBREGAT,2300,AV MARINA,13, ,0, ,13,420440.0315,4575891.436,41.33057861,2.0492404,2022/08/01 05:45:24+00,1117
2459,08200,SANT BOI DE LLOBREGAT,1850,PL CATALUNYA,6, ,7, ,6-7,419880.5791,4577038.1843,41.34085133,2.04240445,2022/08/01 05:45:24+00,1920
2460,08200,SANT BOI DE LLOBREGAT,0970,C ALOU,27, ,0, ,27,420034.2097,4577698.7659,41.34681608,2.0441534,2022/08/01 05:45:24+00,1564
2461,08200,SANT BOI DE LLOBREGAT,0070,C AMADEU VIVES,9, ,11, ,9-11,419484.4766,4577279.4736,41.342985,2.03763883,2022/08/01 05:45:24+00,136
2462,08200,SANT BOI DE LLOBREGAT,0610,C EBRE,28, ,0, ,28,419565.4615,4577792.9925,41.34761806,2.03853864,2022/08/01 05:45:24+00,1739
2463,08200,SANT BOI DE LLOBREGAT,2300,AV MARINA,52,F,0, ,52F,419839.8092,4575470.242,41.32672567,2.04212413,2022/08/01 05:45:24+00,2091
2464,08200,SANT BOI DE LLOBREGAT,1200,C RAMÓN MENÉNDEZ PIDAL,1, ,3, ,1-3,419590.3489,4576220.3498,41.33345664,2.03904433,2022/08/01 05:45:24+00,914
2465,08200,SANT BOI DE LLOBREGAT,1230,C MIGUEL DE CERVANTES,7, ,0, ,7,419604.1472,4577759.0529,41.34731624,2.03900549,2022/08/01 05:45:24+00,110
2466,08200,SANT BOI DE LLOBREGAT,2240,C MOSSÈN ANTONI SOLANAS,27, ,0, ,27,420084.6636,4576739.7836,41.33818406,2.04488263,2022/08/01 05:45:24+00,625
2467,08200,SANT BOI DE LLOBREGAT,0860,C JAUME I,45, ,0, ,45,419728.6593,4577477.3423,41.34479145,2.04053087,2022/08/01 05:45:24+00,1316
2468,08200,SANT BOI DE LLOBREGAT,2030,PL VALLESPIR,5, ,0, ,5,419732.7282,4576054.7775,41.33197961,2.04076752,2022/08/01 05:45:24+00,1714
2469,08200,SANT BOI DE LLOBREGAT,3280,C MUNTANYES DE PRADES,2, ,0, ,2,418050.1411,4577538.3264,41.3451717,2.02046239,2022/08/01 05:45:24+00,869
2470,08200,SANT BOI DE LLOBREGAT,0240,C BALDIRI COMAS,52, ,0, ,52,419635.9209,4577360.7751,41.34373235,2.03943796,2022/08/01 05:45:24+00,837
2471,08200,SANT BOI DE LLOBREGAT,0100,C ANTONI GAUDÍ,45, ,0, ,45,419046.2461,4577946.4123,41.3489478,2.03231266,2022/08/01 05:45:24+00,173
2472,08200,SANT BOI DE LLOBREGAT,0120,C JOAQUIM AUGER,44, ,0, ,44,419007.0778,4578019.6784,41.34960373,2.03183475,2022/08/01 05:45:24+00,1176
2473,08200,SANT BOI DE LLOBREGAT,2350,C RUTLLA,49, ,0, ,49,419635.6292,4577647.6271,41.34631584,2.03939651,2022/08/01 05:45:24+00,1777
2474,08200,SANT BOI DE LLOBREGAT,1800,C FRANCESC PI I MARGALL,98, ,0, ,98,419254.9551,4577726.2,41.34698543,2.03483644,2022/08/01 05:45:24+00,162
2475,08200,SANT BOI DE LLOBREGAT,0750,C FRANCESC MACIÀ,117, ,119, ,117-119,420129.8267,4576733.8822,41.33813539,2.0454231,2022/08/01 05:45:24+00,1091
2476,08200,SANT BOI DE LLOBREGAT,1580,C POLLANCRES,37, ,0, ,37,418167.6097,4578516.0477,41.35398937,2.02173446,2022/08/01 05:45:24+00,1566
2477,08200,SANT BOI DE LLOBREGAT,1800,C FRANCESC PI I MARGALL,122, ,0, ,122,419183.0748,4577718.9939,41.34691332,2.03397831,2022/08/01 05:45:24+00,1016
2478,08200,SANT BOI DE LLOBREGAT,0320,C CAMÍ DEL LLOR,37, ,0, ,37,418275.4041,4578676.8064,41.35544817,2.02300126,2022/08/01 05:45:24+00,1110
2479,08200,SANT BOI DE LLOBREGAT,0700,C EUSEBI GÜELL,98, ,0, ,98,418935.5356,4577767.8562,41.34732852,2.0310133,2022/08/01 05:45:24+00,1547
2480,08200,SANT BOI DE LLOBREGAT,1555,C TARONGERS,1, ,3, ,1-3,418200.5881,4578324.549,41.35226801,2.02215446,2022/08/01 05:45:24+00,1712
2481,08200,SANT BOI DE LLOBREGAT,3640,C ONYAR,20, ,0, ,20,418311.4129,4577137.2414,41.34158591,2.02363887,2022/08/01 05:45:24+00,2100
2482,08200,SANT BOI DE LLOBREGAT,0830,C JAUME BALMES,74, ,0, ,74,420066.8275,4576501.1135,41.33603272,2.0447009,2022/08/01 05:45:24+00,1942
2483,08200,SANT BOI DE LLOBREGAT,2340,C JOAQUIM RUBIÓ I ORS,3, ,0, ,3,418793.6538,4577641.5386,41.34617656,2.02933448,2022/08/01 05:45:24+00,129
2484,08200,SANT BOI DE LLOBREGAT,1360,C ACÀCIES,51, ,53, ,51-53,417942.6412,4578239.6333,41.35147699,2.01908283,2022/08/01 05:45:24+00,470
2485,08200,SANT BOI DE LLOBREGAT,2580,C VICTÒRIA,25, ,0, ,25,419123.0768,4578047.4813,41.34986579,2.03321747,2022/08/01 05:45:24+00,1910
2486,08200,SANT BOI DE LLOBREGAT,1310,C MÚRCIA,58,D,0, ,58D,419262.9066,4575223.0976,41.3244422,2.03526419,2022/08/01 05:45:24+00,1577
2487,08200,SANT BOI DE LLOBREGAT,5020,C SALVADOR AULÈSTIA I BARRIAC,7,A,0, ,7A,418607.9658,4577557.4374,41.34540038,2.02712652,2022/08/01 05:45:24+00,865
2488,08200,SANT BOI DE LLOBREGAT,1430,C EUCALIPTUS,1, ,0, ,1,418433.9,4578262.4058,41.35173199,2.02495148,2022/08/01 05:45:24+00,1023
2489,08200,SANT BOI DE LLOBREGAT,0070,C AMADEU VIVES,21, ,0, ,21,419519.3228,4577234.5325,41.34258372,2.03806123,2022/08/01 05:45:24+00,1973
2490,08200,SANT BOI DE LLOBREGAT,0460,CR SANTA CREU DE CALAFELL,39, ,0, ,39,419875.8756,4576064.4656,41.33208111,2.04247669,2022/08/01 05:45:24+00,61
2491,08200,SANT BOI DE LLOBREGAT,0100,C ANTONI GAUDÍ,30, ,0, ,30,419059.2534,4577960.407,41.34907515,2.03246626,2022/08/01 05:45:24+00,173
2492,08200,SANT BOI DE LLOBREGAT,1810,C PABLO PICASSO,55, ,0, ,55,418824.2075,4578378.479,41.35281682,2.02960108,2022/08/01 05:45:24+00,1046
2493,08200,SANT BOI DE LLOBREGAT,3750,C GARONA,23, ,0, ,23,418567.6108,4576970.7348,41.34011222,2.02672291,2022/08/01 05:45:24+00,800
2494,08200,SANT BOI DE LLOBREGAT,0100,C ANTONI GAUDÍ,47, ,0, ,47,419038.6656,4577945.1995,41.34893612,2.03222222,2022/08/01 05:45:24+00,173
2495,08200,SANT BOI DE LLOBREGAT,0370,C CANONGE JAUME COLLELL,8, ,10, ,8-10,419673.185,4577457.5753,41.34460789,2.0398705,2022/08/01 05:45:24+00,1482
2496,08200,SANT BOI DE LLOBREGAT,1560,C CASTANYERS,7, ,0, ,7,418144.9964,4578444.7403,41.35334485,2.02147379,2022/08/01 05:45:24+00,1823
2497,08200,SANT BOI DE LLOBREGAT,1490,C PLATANERS,7, ,0, ,7,418237.7261,4578097.2264,41.35022443,2.02262898,2022/08/01 05:45:24+00,594
2498,08200,SANT BOI DE LLOBREGAT,1590,C OMS,51, ,0, ,51,417504.8987,4578060.7446,41.34982114,2.01387509,2022/08/01 05:45:24+00,773
2499,08200,SANT BOI DE LLOBREGAT,2320,C ROSSELLÓ,82, ,0, ,82,418738.3101,4577817.061,41.34775181,2.02864955,2022/08/01 05:45:24+00,1873
2500,08200,SANT BOI DE LLOBREGAT,2300,AV MARINA,42, ,0, ,42,419983.14,4575659.7532,41.32844674,2.04381168,2022/08/01 05:45:24+00,452
2501,08200,SANT BOI DE LLOBREGAT,0340,. CAMPS BLANCS,65, ,0, ,65,419144.4828,4576452.2296,41.33550044,2.03368575,2022/08/01 05:45:24+00,1728
2502,08200,SANT BOI DE LLOBREGAT,6394,C MARGARITA XIRGU,16, ,0, ,16,418304.944,4578563.5392,41.35443104,2.0233696,2022/08/01 05:45:24+00,1484
2503,08200,SANT BOI DE LLOBREGAT,0090,C ANSELM CLAVÉ,29, ,0, ,29,419454.5961,4577495.9326,41.34493153,2.03725302,2022/08/01 05:45:24+00,1312
2504,08200,SANT BOI DE LLOBREGAT,1440,PS MIMOSES,2, ,0, ,2,418440.932,4578385.4904,41.35284125,2.02501899,2022/08/01 05:45:24+00,1570
2505,08200,SANT BOI DE LLOBREGAT,5060,C FEIXARS,18, ,0, ,18,420386.2825,4575543.5857,41.3274404,2.04864375,2022/08/01 05:45:24+00,657
2506,08200,SANT BOI DE LLOBREGAT,1520,C SALZES,49, ,0, ,49,418145.1607,4577876.5883,41.34822788,2.02155238,2022/08/01 05:45:24+00,1315
2507,08200,SANT BOI DE LLOBREGAT,3610,C CANONS,28, ,0, ,28,418463.8613,4577043.2357,41.3407547,2.02547334,2022/08/01 05:45:24+00,663
2508,08200,SANT BOI DE LLOBREGAT,1300,C MOSSÈN JACINT VERDAGUER,11, ,13, ,11-13,419432.8864,4577429.4766,41.34433083,2.03700238,2022/08/01 05:45:24+00,794
2509,08200,SANT BOI DE LLOBREGAT,2300,AV MARINA,3, ,0, ,3,420632.1649,4576160.8693,41.3330242,2.05150094,2022/08/01 05:45:24+00,1773
2510,08200,SANT BOI DE LLOBREGAT,1520,C SALZES,40, ,0, ,40,418105.8304,4577948.4258,41.34887088,2.02107262,2022/08/01 05:45:24+00,1315
2511,08200,SANT BOI DE LLOBREGAT,0240,C BALDIRI COMAS,49, ,0, ,49,419648.1686,4577381.6542,41.34392162,2.03958157,2022/08/01 05:45:24+00,837
2512,08200,SANT BOI DE LLOBREGAT,3600,C TER,31, ,0, ,31,418398.3304,4577111.2363,41.34136051,2.02468108,2022/08/01 05:45:24+00,377
2513,08200,SANT BOI DE LLOBREGAT,3850,C ORIOLES,43, ,47, ,43-47,418126.0266,4576679.7461,41.33744671,2.02148508,2022/08/01 05:45:24+00,1368
2514,08200,SANT BOI DE LLOBREGAT,1110,C LLUÍS COMPANYS,7, ,0, ,7,419013.6626,4578977.6037,41.35823185,2.03178561,2022/08/01 05:45:24+00,642
2515,08200,SANT BOI DE LLOBREGAT,0500,. CIUTAT COOPERATIVA,102, ,0, ,102,418653.9542,4578727.8059,41.35594582,2.02751928,2022/08/01 05:45:24+00,528
2516,08200,SANT BOI DE LLOBREGAT,2580,C VICTÒRIA,114, ,0, ,114,418618.2722,4577979.7635,41.34920505,2.02719308,2022/08/01 05:45:24+00,1420
2517,08200,SANT BOI DE LLOBREGAT,3790,C PIRINEUS,26, ,0, ,26,417996.3304,4577246.2032,41.34253526,2.01985874,2022/08/01 05:45:24+00,2071
2518,08200,SANT BOI DE LLOBREGAT,1450,C LLORERS,1, ,5, ,1-5,418328.2929,4578391.5886,41.35288475,2.02367183,2022/08/01 05:45:24+00,1453
2519,08200,SANT BOI DE LLOBREGAT,0750,C FRANCESC MACIÀ,121, ,123, ,121-123,420150.8587,4576709.578,41.33791858,2.04567763,2022/08/01 05:45:24+00,1091
